1st,USA,18.1,2015
2nd,CHN,11.2,2016
3rd,JAP,4.2,2017
4th,GER,3.4,2018
5th,UK,2.9,2019
6th,FRAN ,2.5,2020
7th,IND,2.3,2021
8th,BR,1.9,2022
9th,ITA,1.8,2023
10th,CAN,1.6,2024
